empty,cluster_name,num_of_cases,is_active,location_name,postal_code,address
,Changi Airport,108,TRUE,Changi Airport,,"Airport Blvd., Singapore Changi Airport"
,Jem/Westgate,63,TRUE,Jem/Westgate,608549,"50 Jurong Gateway Rd, Singapore"
,MINDSville @ Napiri,33,TRUE,MINDSville @ Napiri,547533,"7 Lor Napiri, Singapore"
,Learning Point,32,TRUE,,,
,Hong Ye Group cleaners,27,TRUE,,,
,Bukit Merah View Market,39,TRUE,Bukit Merah View Market,151115,"115 Bukit Merah View, Singapore"
,McDonald’s delivery riders,23,TRUE,,,
,Changi Prison Complex,16,TRUE,Changi Prison Complex,507709,"982 Upper Changi Rd N, Singapore"
,506 Hougang Avenue 8,13,TRUE,506 Hougang Avenue 8,530506,"506 Hougang Ave 8, Singapore"
,NTUC Foodfare (#01-07 Anchorvale Place),13,TRUE,NTUC Foodfare (#01-07 Anchorvale Place),540308,"308 Anchorvale Rd, Singapore"
,Case 63806,10,TRUE,,,
,Jin Tai Tong Food Industries,9,TRUE,Jin Tai Tong Food Industries,415934,"1 Kaki Bukit Rd 1, Singapore"
,Case 63236,8,TRUE,,,
,Atatcutz Singapore (#01-04 In front of Spize Restaurant Simpang),8,TRUE,Atatcutz Singapore (#01-04 In front of Spize Restaurant Simpang),469560,"348 Bedok Rd, Singapore"
,Case 63660,7,TRUE,,,
,Case 63714,7,TRUE,,,
,Case 63887,7,TRUE,,,
,Chevy’s Bar and Bistro,7,TRUE,Chevy’s Bar and Bistro,189756,"247 Beach Rd, Singapore "
,Marina Bay Sands Casino dealer,7,TRUE,,,
,Pacific Law Corporation,7,TRUE,Pacific Law Corporation,308900,"8 Goldhill Plaza, Singapore"
,Tektronix,7,TRUE,,,
,Case 63319,6,TRUE,,,
,Case 63479,6,TRUE,,,
,Case 63708,6,TRUE,,,
,Case 63964,6,TRUE,,,
,Case 63446,5,TRUE,,,
,Case 63922,5,TRUE,,,
,Harvest @ Woodlands Dorm,5,TRUE,Harvest @ Woodlands Dorm,757322,"280 Woodlands Industrial Park E5, Singapore "
,Case 63376,4,TRUE,,,
,Case 63515,4,TRUE,,,
,Case 63941,4,TRUE,,,
,Wok Hey (White Sands Mall #B1-K05),4,FALSE,Wok Hey (White Sands Mall #B1-K05),518457,"1 Pasir Ris Central Street 3, Singapore"
,Case 63290,3,TRUE,,,
,Case 63336,3,TRUE,,,
,Case 63399,3,TRUE,,,
,Case 63414,3,TRUE,,,
,Case 63466,3,TRUE,,,
,Case 63487,3,TRUE,,,
,Case 63516,3,TRUE,,,
,Case 63543,3,TRUE,,,
,Case 63743,3,TRUE,,,
,Case 63844,3,TRUE,,,
,Case 63892,3,TRUE,,,
,Case 63973,3,TRUE,,,
,Case 63931,3,TRUE,,,
,Tan Tock Seng Hospital,48,FALSE,Tan Tock Seng Hospital,308433,"11 JALAN TAN TOCK SENG TAN TOCK SENG, Singapore"
,ICA officer,11,FALSE,,,
,MT ALLI,7,FALSE,,,
,Westlite Woodlands Dorm,7,FALSE,Westlite Woodlands Dorm,737723,"2 Woodlands Sector 2, Singapore"
,Pasir Panjang Terminal,5,FALSE,Pasir Panjang Terminal, 117606,33 Harbour Drive
,NUS research fellow,5,FALSE,,,
,Case 61360,4,FALSE,,,
,OM Universal Pte Ltd,4,FALSE,OM Universal Pte Ltd,415939,11 KAKI BUKIT ROAD 1 #04-02 EUNOS TECHNOLINK
,Tuas South CCF,4,FALSE,,,
,Grab driver,3,FALSE,,,
,Case 62049,3,FALSE,,,
